Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-245e,,0.156,3.21982106,,,transit,2870.0,0.8,5100.0,2016
Kepler-255d,,0.118,1.04562266,,,transit,3530.0,0.97,5573.0,2016
Kepler-271d,,0.059,5.24972541,,,transit,1334.0,,5524.0,2016
Kepler-304e,,0.107,1.49914695,,,transit,1435.0,0.8,4731.0,2016
Kepler-342e,,0.079,1.64422461,,,transit,2600.0,1.13,6175.0,2016
Kepler-351d,,0.243,142.544247,,,transit,3640.0,0.89,5643.0,2016
Kepler-398d,,0.079,6.83437001,,,transit,581.4,,4493.0,2016
Kepler-401d,,0.203,184.256405,,,transit,3230.0,,6117.0,2016
Kepler-403d,,0.127,13.61159129,,,transit,2800.0,,6090.0,2016
Kepler-411c,,0.292,7.83442788,,,transit,503.5,0.83,4974.0,2016
Kepler-436c,,0.208,16.79713874,,,transit,2020.0,0.73,4651.0,2016
Kepler-461b,,0.23,8.31378306,,,transit,1530.0,0.98,5634.0,2016
Kepler-462b,,0.336,84.6879808,,,transit,2390.0,1.59,7070.0,2016
Kepler-463b,,0.272,8.98101683,,,transit,1100.0,0.87,5661.0,2016
Kepler-464b,,0.294,7.25696522,,,transit,2130.0,1.21,5933.0,2016
Kepler-465b,,0.263,9.94067247,,,transit,1910.0,1.23,6310.0,2016
Kepler-466b,,0.254,51.07926307,,,transit,1420.0,1.04,5927.0,2016
Kepler-466c,,0.112,3.70921385,,,transit,1420.0,1.04,5927.0,2016
Kepler-467b,,0.201,24.99324193,,,transit,1490.0,1.05,5809.0,2016
Kepler-468b,,1.19,38.47875707,,,transit,1550.0,0.96,5498.0,2016
Kepler-471b,,1.335,5.01423457,,,transit,4480.0,1.49,6733.0,2016
Kepler-472b,,0.287,4.17625551,,,transit,980.0,0.85,4996.0,2016
Kepler-473b,,0.364,14.55731705,,,transit,2090.0,1.06,5816.0,2016
Kepler-474b,,0.273,5.66067294,,,transit,1850.0,0.99,5785.0,2016
Kepler-475b,,0.222,3.10550819,,,transit,910.0,0.86,5009.0,2016
Kepler-476b,,0.275,14.00640607,,,transit,2240.0,1.03,5837.0,2016
Kepler-477b,,0.185,11.11990653,,,transit,1200.0,0.87,5240.0,2016
Kepler-478b,,0.242,13.2217576,,,transit,1400.0,0.85,5210.0,2016
Kepler-479b,,0.189,12.49341307,,,transit,1210.0,0.86,5247.0,2016
Kepler-480b,,0.248,4.9195838,,,transit,2630.0,1.25,6322.0,2016
Kepler-481b,,0.223,10.06082567,,,transit,2330.0,1.01,5802.0,2016
Kepler-482b,,0.211,56.35418576,,,transit,950.0,0.75,4871.0,2016
Kepler-483b,,0.286,30.229104,,,transit,3110.0,1.28,6346.0,2016
Kepler-484b,,0.203,10.04556931,,,transit,1230.0,0.96,5668.0,2016
Kepler-485b,,1.286,3.2432598,,,transit,3830.0,1.07,5958.0,2016
Kepler-487b,,1.019,15.3587684,,,transit,2720.0,0.91,5444.0,2016
Kepler-487c,,0.239,38.6519976,,,transit,2720.0,0.91,5444.0,2016
Kepler-489b,,0.689,17.27629612,,,transit,1240.0,0.82,5014.0,2016
Kepler-490b,,1.039,3.26869515,,,transit,4070.0,1.08,6045.0,2016
Kepler-491b,,0.796,4.22538451,,,transit,2140.0,1.04,5582.0,2016
Kepler-493b,,1.35,3.00387658,,,transit,6330.0,1.36,6457.0,2016
Kepler-495b,,0.467,3.41303622,,,transit,2100.0,0.86,5346.0,2016
Kepler-496b,,0.207,8.30864937,,,transit,2140.0,0.86,5293.0,2016
Kepler-497b,,0.539,3.57320367,,,transit,3500.0,1.09,5834.0,2016
Kepler-498b,,0.27,9.61375356,,,transit,2430.0,0.98,5744.0,2016
Kepler-499b,,0.194,5.63252845,,,transit,1710.0,0.87,5312.0,2016
Kepler-500b,,0.23,8.5083244,,,transit,2440.0,1.02,5813.0,2016
Kepler-501b,,0.384,5.64067757,,,transit,3410.0,1.03,5904.0,2016
Kepler-502b,,0.426,4.28686431,,,transit,4670.0,1.15,6125.0,2016
Kepler-504b,,0.142,9.54927542,,,transit,240.0,0.33,3519.0,2016
Kepler-505b,,0.232,27.52197994,,,transit,720.0,0.55,3931.0,2016
Kepler-506b,,0.244,6.8834055,,,transit,750.0,1.19,6236.0,2016
Kepler-507b,,0.116,3.56809693,,,transit,1300.0,1.16,6113.0,2016
Kepler-508b,,0.146,25.30889748,,,transit,1060.0,1.16,6025.0,2016
Kepler-509b,,0.222,41.74600392,,,transit,1110.0,1.1,6060.0,2016
Kepler-510b,,0.22,19.55659418,,,transit,1230.0,0.91,5746.0,2016
Kepler-511b,,0.567,296.637865,,,transit,1460.0,1.0,5770.0,2016
Kepler-512b,,0.24,34.43587975,,,transit,1730.0,1.17,5997.0,2016
Kepler-513b,,0.196,28.86235584,,,transit,1520.0,1.02,5849.0,2016
Kepler-514b,,0.153,5.65179605,,,transit,1590.0,1.28,6106.0,2016
Kepler-515b,,0.13,19.96371318,,,transit,830.0,0.9,5293.0,2016
Kepler-516b,,0.512,24.85462415,,,transit,2530.0,1.62,7099.0,2016
Kepler-517b,,0.238,60.92832271,,,transit,930.0,0.95,5690.0,2016
Kepler-518b,,0.188,8.51203588,,,transit,1060.0,0.96,5842.0,2016
Kepler-519b,,0.187,24.3078946,,,transit,760.0,0.89,5260.0,2016
Kepler-520b,,0.148,19.67416124,,,transit,1600.0,1.1,6112.0,2016
Kepler-520c,,0.095,5.21104261,,,transit,1600.0,1.1,6112.0,2016
Kepler-521b,,0.284,22.20813214,,,transit,2400.0,1.34,6406.0,2016
Kepler-522b,,0.616,38.58422849,,,transit,2440.0,1.54,6392.0,2016
Kepler-523b,,0.175,5.83598311,,,transit,880.0,0.93,5515.0,2016
Kepler-524b,,0.17,7.97419807,,,transit,2400.0,1.09,6014.0,2016
Kepler-524c,,0.086,1.88897906,,,transit,2400.0,1.09,6014.0,2016
Kepler-525b,,0.235,18.68404933,,,transit,1850.0,0.95,5573.0,2016
Kepler-526b,,0.178,5.45849832,,,transit,1640.0,1.15,5894.0,2016
Kepler-527b,,0.253,13.28535633,,,transit,2940.0,1.28,6388.0,2016
Kepler-528b,,0.186,19.78297415,,,transit,2320.0,1.01,5807.0,2016
Kepler-529b,,0.166,1.98035766,,,transit,2570.0,1.07,6087.0,2016
Kepler-529c,,0.178,12.8345022,,,transit,2570.0,1.07,6087.0,2016
Kepler-530b,,0.269,39.30941904,,,transit,1510.0,0.97,5697.0,2016
Kepler-531b,,0.248,29.88485741,,,transit,830.0,0.78,4893.0,2016
Kepler-532b,,0.229,12.92491623,,,transit,1060.0,0.87,5192.0,2016
Kepler-533b,,0.302,28.51120525,,,transit,990.0,0.78,4758.0,2016
Kepler-534b,,0.2,15.95994513,,,transit,1540.0,1.05,5884.0,2016
Kepler-535b,,0.211,4.90332155,,,transit,2210.0,1.18,6123.0,2016
Kepler-536b,,0.277,1.8270823,,,transit,1450.0,0.92,5524.0,2016
Kepler-537b,,0.126,3.24755522,,,transit,1520.0,1.07,5763.0,2016
Kepler-538b,,0.202,81.73780699,,,transit,540.0,0.96,5650.0,2016
Kepler-539b,0.97,0.747,125.63243,0.4988,,transit,1020.0,1.05,5820.0,2016
Kepler-539c,2.4,,1000.0,2.42,,transit,1020.0,1.05,5820.0,2016
Kepler-540b,,0.242,172.7049784,,,transit,1100.0,1.02,5946.0,2016
Kepler-541b,,0.3,5.08005848,,,transit,3300.0,1.41,6166.0,2016
Kepler-542b,,0.14,13.14497566,,,transit,1430.0,0.93,5526.0,2016
Kepler-543b,,0.223,13.89961966,,,transit,690.0,0.7,4671.0,2016
Kepler-544b,,0.189,21.41616926,,,transit,2600.0,1.16,6206.0,2016
Kepler-545b,,0.24,13.24934059,,,transit,2710.0,1.04,5882.0,2016
Kepler-546b,,0.624,4.14702026,,,transit,2920.0,1.11,5967.0,2016
Kepler-547b,,0.357,6.01038429,,,transit,1180.0,0.78,4828.0,2016
Kepler-548b,,1.07,4.45419434,,,transit,2530.0,0.93,5535.0,2016
Kepler-549b,,0.229,42.9495649,,,transit,2110.0,0.88,5360.0,2016
Kepler-549c,,0.261,117.040498,,,transit,2110.0,0.88,5360.0,2016
Kepler-550b,,0.394,8.60010411,,,transit,1840.0,0.87,5322.0,2016
Kepler-551b,,0.244,12.3764661,,,transit,1020.0,0.65,4286.0,2016
Kepler-552b,,0.352,5.26341577,,,transit,2720.0,1.03,5863.0,2016
Kepler-553b,,0.413,4.03046804,,,transit,2360.0,0.92,5266.0,2016
Kepler-553c,,0.999,328.2399546,,,transit,2360.0,0.92,5266.0,2016
Kepler-554b,,0.383,1.90220856,,,transit,2090.0,0.93,5447.0,2016
Kepler-555b,,0.252,16.21775407,,,transit,2520.0,1.03,5894.0,2016
Kepler-556b,,0.2,11.72292176,,,transit,2380.0,1.0,5740.0,2016
Kepler-557b,,0.238,3.70598955,,,transit,3670.0,1.11,6068.0,2016
Kepler-558b,,0.211,29.00790538,,,transit,2130.0,0.85,5242.0,2016
Kepler-559b,,0.322,17.58752333,,,transit,2590.0,0.96,5630.0,2016
Kepler-560b,,0.153,18.47764449,,,transit,290.0,0.34,3556.0,2016
Kepler-561b,,0.621,58.3620495,,,transit,2180.0,0.96,5646.0,2016
Kepler-561c,,0.239,5.35016198,,,transit,2180.0,0.96,5646.0,2016
Kepler-562b,,0.465,18.00931444,,,transit,2680.0,0.93,5575.0,2016
Kepler-563b,,0.276,22.18432708,,,transit,1820.0,0.8,5066.0,2016
Kepler-564b,,0.413,3.75083228,,,transit,2700.0,0.95,5626.0,2016
Kepler-565b,,0.325,4.24374723,,,transit,3400.0,0.98,5735.0,2016
Kepler-566b,,0.192,18.42794624,,,transit,2050.0,0.83,5132.0,2016
Kepler-567b,,0.201,16.54297375,,,transit,1850.0,0.84,5148.0,2016
Kepler-568b,,0.202,11.02347475,,,transit,410.0,0.55,3768.0,2016
Kepler-569b,,0.282,34.18890521,,,transit,2100.0,0.95,5616.0,2016
Kepler-570b,,0.219,4.301662,,,transit,2090.0,0.93,5496.0,2016
Kepler-571b,,0.236,4.79859939,,,transit,2470.0,0.93,5527.0,2016
Kepler-572b,,0.23,17.20523483,,,transit,1740.0,0.83,5212.0,2016
Kepler-573b,,0.249,22.18329658,,,transit,2470.0,0.99,5746.0,2016
Kepler-574b,,0.213,7.65880414,,,transit,2440.0,0.95,5612.0,2016
Kepler-575b,,0.213,9.37891944,,,transit,2780.0,0.97,5710.0,2016
Kepler-576b,,0.292,29.91136794,,,transit,2280.0,0.99,5672.0,2016
Kepler-577b,,0.227,25.69578251,,,transit,1790.0,0.78,4984.0,2016
Kepler-578b,,0.178,1.6168837,,,transit,1850.0,0.87,5334.0,2016
Kepler-579b,,0.178,9.66857723,,,transit,2160.0,0.99,5636.0,2016
Kepler-580b,,0.229,8.22241966,,,transit,1090.0,0.67,4298.0,2016
Kepler-581b,,0.235,40.6069821,,,transit,2720.0,1.0,5772.0,2016
Kepler-582b,,0.328,18.49235668,,,transit,2450.0,0.93,5564.0,2016
Kepler-583b,,0.203,6.5100253,,,transit,2630.0,0.94,5523.0,2016
Kepler-584b,,0.376,35.1810304,,,transit,4710.0,1.17,6195.0,2016
Kepler-585b,,0.252,2.75235975,,,transit,1970.0,0.96,5593.0,2016
Kepler-586b,,0.249,2.10472218,,,transit,2310.0,0.94,5575.0,2016
Kepler-587b,,0.199,10.94027841,,,transit,2780.0,0.92,5549.0,2016
Kepler-588b,,0.235,4.22162536,,,transit,3170.0,1.01,5835.0,2016
Kepler-589b,,0.203,16.54964934,,,transit,2100.0,0.88,5296.0,2016
Kepler-590b,,0.359,5.85296257,,,transit,3220.0,1.1,6000.0,2016
Kepler-591b,,0.302,81.1694299,,,transit,2590.0,0.97,5677.0,2016
Kepler-592b,,0.213,2.82019241,,,transit,3370.0,1.04,5913.0,2016
Kepler-593b,,0.256,21.21708973,,,transit,3310.0,1.08,5967.0,2016
Kepler-594b,,0.194,13.64618192,,,transit,2420.0,0.91,5485.0,2016
Kepler-595b,,0.34,25.30292332,,,transit,2080.0,0.87,5247.0,2016
Kepler-596b,,0.309,21.30022655,,,transit,3530.0,1.21,6267.0,2016
Kepler-597b,,0.211,13.02365861,,,transit,2200.0,0.97,5683.0,2016
Kepler-598b,,0.134,3.70175428,,,transit,2240.0,0.87,5307.0,2016
Kepler-599b,,0.253,15.65562652,,,transit,2050.0,0.83,5127.0,2016
Kepler-600b,,0.259,23.67517607,,,transit,2040.0,0.84,5279.0,2016
Kepler-601b,,0.17,5.37886844,,,transit,1400.0,0.85,5160.0,2016
Kepler-602b,,0.186,15.28469497,,,transit,3170.0,1.08,6062.0,2016
Kepler-603b,,0.236,21.05358596,,,transit,3150.0,1.01,5808.0,2016
Kepler-603c,,0.58,127.9075774,,,transit,3150.0,1.01,5808.0,2016
Kepler-603d,,0.118,6.2171292,,,transit,3150.0,1.01,5808.0,2016
Kepler-604b,,0.231,25.85501786,,,transit,3200.0,1.02,5890.0,2016
Kepler-605b,,0.128,3.38353807,,,transit,1900.0,0.91,5462.0,2016
Kepler-605c,,0.077,2.35895152,,,transit,1900.0,0.91,5462.0,2016
Kepler-606b,,0.295,24.31575992,,,transit,3940.0,1.13,6161.0,2016
Kepler-607b,,0.078,0.6381632,,,transit,1600.0,0.84,5196.0,2016
Kepler-608b,,0.325,6.41251504,,,transit,3020.0,1.0,5820.0,2016
Kepler-609b,,0.299,6.52121067,,,transit,3730.0,1.09,5971.0,2016
Kepler-610b,,0.374,6.99692655,,,transit,3630.0,1.1,5943.0,2016
Kepler-610c,,0.294,151.86392,,,transit,3630.0,1.1,5943.0,2016
Kepler-611b,,0.147,2.4370333,,,transit,2950.0,1.01,5761.0,2016
Kepler-612b,,0.253,3.72215641,,,transit,3040.0,0.98,5693.0,2016
Kepler-613b,,0.204,15.77979614,,,transit,2820.0,0.98,5723.0,2016
Kepler-614b,,0.213,14.03491514,,,transit,1860.0,0.85,5268.0,2016
Kepler-615b,,0.155,10.35584657,,,transit,1100.0,0.73,4655.0,2016
Kepler-616b,,0.217,9.99761851,,,transit,3320.0,0.98,5753.0,2016
Kepler-616c,,0.304,90.4113556,,,transit,3320.0,0.98,5753.0,2016
Kepler-617b,,0.118,1.68269615,,,transit,490.0,0.51,3712.0,2016
Kepler-618b,,0.232,3.59576964,,,transit,3640.0,1.05,5860.0,2016
Kepler-619b,,0.282,5.4042722,,,transit,3620.0,1.09,5980.0,2016
Kepler-619c,,0.151,1.20846503,,,transit,3620.0,1.09,5980.0,2016
Kepler-620b,,0.296,12.91375431,,,transit,4050.0,1.15,6155.0,2016
Kepler-621b,,0.205,2.62811375,,,transit,1270.0,0.72,4521.0,2016
Kepler-622b,,0.19,14.28226676,,,transit,840.0,0.64,4201.0,2016
Kepler-623b,,0.269,9.07097734,,,transit,2650.0,0.9,5443.0,2016
Kepler-624b,,0.206,14.58649607,,,transit,2380.0,1.1,6117.0,2016
Kepler-625b,,0.178,7.75192492,,,transit,1640.0,1.04,5789.0,2016
Kepler-625c,,0.094,4.1653651,,,transit,1640.0,1.04,5789.0,2016
Kepler-626b,,0.204,14.48585199,,,transit,2300.0,1.01,5813.0,2016
Kepler-627b,,0.333,40.6994443,,,transit,3730.0,1.3,6424.0,2016
Kepler-629b,,0.123,7.2385854,,,transit,1250.0,0.93,5444.0,2016
Kepler-630b,,0.284,161.4743937,,,transit,2140.0,1.02,5829.0,2016
Kepler-631b,,0.259,17.97979059,,,transit,2750.0,1.24,6185.0,2016
Kepler-632b,,0.197,30.99660733,,,transit,1140.0,0.91,5322.0,2016
Kepler-633b,,0.145,8.50340718,,,transit,2070.0,1.02,5899.0,2016
Kepler-634b,,0.169,5.16950177,,,transit,2470.0,1.03,6075.0,2016
Kepler-635b,,0.236,23.44971004,,,transit,2690.0,1.33,6174.0,2016
Kepler-636b,,0.397,16.08066115,,,transit,1110.0,0.85,5203.0,2016
Kepler-637b,,0.424,23.20584623,,,transit,5140.0,1.64,6096.0,2016
Kepler-638b,,0.163,6.07972888,,,transit,1390.0,0.88,5382.0,2016
Kepler-639b,,0.212,10.21420496,,,transit,2200.0,1.14,5896.0,2016
Kepler-640b,,0.228,22.24813967,,,transit,1750.0,1.01,5653.0,2016
Kepler-641b,,0.165,9.48961571,,,transit,2200.0,1.02,5713.0,2016
Kepler-642b,,0.259,4.41745855,,,transit,3330.0,1.4,6570.0,2016
Kepler-643b,,0.906,16.33889626,,,transit,3360.0,1.0,4908.0,2016
Kepler-644b,,0.281,3.1739171,,,transit,4610.0,1.49,6747.0,2016
Kepler-645b,,0.187,3.27582262,,,transit,2940.0,1.13,6170.0,2016
Kepler-646b,,0.178,15.87364565,,,transit,1670.0,0.93,5634.0,2016
Kepler-647b,,0.104,16.2254649,,,transit,2570.0,1.03,6020.0,2016
Kepler-648b,,0.287,17.4211749,,,transit,2170.0,1.05,5741.0,2016
Kepler-649b,,0.202,29.90722674,,,transit,1710.0,0.97,5871.0,2016
Kepler-650b,,0.264,3.03214559,,,transit,2630.0,1.08,5849.0,2016
Kepler-651b,,0.211,21.38521506,,,transit,1750.0,0.92,5522.0,2016
Kepler-652b,,0.222,4.18200253,,,transit,1380.0,0.97,5490.0,2016
Kepler-653b,,0.174,14.70748976,,,transit,1930.0,1.02,5665.0,2016
Kepler-653c,,0.07,0.90037648,,,transit,1930.0,1.02,5665.0,2016
Kepler-654b,,0.185,13.72465129,,,transit,2160.0,1.04,5865.0,2016
Kepler-655b,,0.242,46.4063358,,,transit,2550.0,1.15,6170.0,2016
Kepler-656b,,0.278,1.26025909,,,transit,2830.0,0.86,5281.0,2016
Kepler-657b,,0.314,24.54350418,,,transit,4060.0,1.01,5808.0,2016
Kepler-658b,,0.145,1.28707676,,,transit,1110.0,0.63,4103.0,2016
Kepler-659b,,0.223,17.671796,,,transit,2240.0,0.79,4870.0,2016
Kepler-660b,,0.229,9.27358194,,,transit,1840.0,0.75,4779.0,2016
Kepler-661b,,0.274,6.02930132,,,transit,1820.0,0.7,4483.0,2016
Kepler-662b,,0.194,21.67697486,,,transit,2090.0,0.79,4897.0,2016
Kepler-663b,,0.232,4.99678284,,,transit,3400.0,0.86,5264.0,2016
Kepler-664b,,0.237,2.52559332,,,transit,4520.0,1.01,5754.0,2016
Kepler-665b,,0.232,16.01310205,,,transit,2120.0,0.79,4913.0,2016
Kepler-666b,,0.214,4.49876092,,,transit,4300.0,1.03,5887.0,2016
Kepler-667b,,0.422,41.43962808,,,transit,2960.0,0.91,5327.0,2016
Kepler-668b,,0.241,8.35390639,,,transit,2860.0,0.87,5352.0,2016
Kepler-669b,,0.431,4.12554687,,,transit,5800.0,1.15,6038.0,2016
Kepler-670b,,1.176,2.81650485,,,transit,3200.0,0.99,5709.0,2016
Kepler-671b,,0.24,4.28095859,,,transit,3710.0,0.97,5624.0,2016
Kepler-672b,,0.223,38.3774623,,,transit,3300.0,0.95,5627.0,2016
Kepler-673b,,0.583,3.72873109,,,transit,3190.0,0.88,5355.0,2016
Kepler-674b,,0.151,2.24338185,,,transit,980.0,0.6,4192.0,2016
Kepler-675b,,0.218,2.33743801,,,transit,2120.0,0.79,4945.0,2016
Kepler-676b,,0.271,11.59822172,,,transit,790.0,0.51,3701.0,2016
Kepler-677b,,0.48,6.57531678,,,transit,3800.0,1.0,5723.0,2016
Kepler-678b,,0.459,7.27503724,,,transit,2850.0,0.94,5520.0,2016
Kepler-679b,,0.269,12.39358604,,,transit,3160.0,0.87,5403.0,2016
Kepler-680b,,0.216,3.68992629,,,transit,4380.0,1.08,5890.0,2016
Kepler-681b,,0.275,26.39435646,,,transit,2170.0,0.8,5021.0,2016
Kepler-682b,,0.658,12.61190667,,,transit,3100.0,0.92,5559.0,2016
Kepler-683b,,0.176,2.53918318,,,transit,3180.0,0.96,5703.0,2016
Kepler-684b,,0.3,6.77030201,,,transit,3480.0,0.89,5493.0,2016
Kepler-685b,,0.944,1.6255222,,,transit,3730.0,1.11,5963.0,2016
Kepler-686b,,1.084,1.59474546,,,transit,3920.0,0.94,5649.0,2016
Kepler-687b,,0.314,20.50586978,,,transit,2050.0,0.77,4841.0,2016
Kepler-688b,,0.871,3.89593684,,,transit,4070.0,0.98,5715.0,2016
Kepler-689b,,0.258,22.36656079,,,transit,3410.0,0.91,5518.0,2016
Kepler-690b,,0.531,7.74809437,,,transit,5390.0,1.11,5913.0,2016
Kepler-691b,,0.186,8.114379,,,transit,780.0,0.53,3715.0,2016
Kepler-692b,,0.277,21.81293494,,,transit,3300.0,0.9,5440.0,2016
Kepler-693b,,0.908,15.37563332,,,transit,3270.0,0.76,4881.0,2016
Kepler-694b,,0.25,6.36584161,,,transit,3340.0,0.97,5700.0,2016
Kepler-695b,,0.822,3.04033042,,,transit,2000.0,0.84,5181.0,2016
Kepler-696b,,0.548,4.19042557,,,transit,4190.0,1.06,5903.0,2016
Kepler-697b,,0.368,3.70987065,,,transit,3560.0,0.92,5513.0,2016
Kepler-698b,,0.328,16.32976218,,,transit,3700.0,0.94,5612.0,2016
Kepler-700b,,0.534,80.8720639,,,transit,3460.0,0.98,5692.0,2016
Kepler-701b,,0.253,10.35533177,,,transit,2460.0,0.88,5343.0,2016
Kepler-702b,,0.818,10.52629406,,,transit,2910.0,0.9,5419.0,2016
Kepler-703b,,0.732,4.58352176,,,transit,4830.0,1.18,6185.0,2016
Kepler-704b,,0.233,3.76182115,,,transit,3440.0,0.97,5616.0,2016
Kepler-705b,,0.188,56.0560538,,,transit,820.0,0.53,3722.0,2016
Kepler-707b,,0.119,2.23749275,,,transit,2040.0,0.8,5099.0,2016
Kepler-708b,,0.261,3.16789194,,,transit,4050.0,0.97,5692.0,2016
Kepler-709b,,0.261,16.08524954,,,transit,2180.0,0.8,5071.0,2016
Kepler-710b,,0.168,4.34728553,,,transit,3000.0,0.94,5611.0,2016
Kepler-711b,,0.304,23.58914398,,,transit,2170.0,0.84,5222.0,2016
Kepler-712b,,0.304,21.02247699,,,transit,3080.0,0.84,5148.0,2016
Kepler-712c,,0.433,226.89047,,,transit,3080.0,0.84,5148.0,2016
Kepler-713b,,0.221,7.411141,,,transit,3270.0,0.98,5785.0,2016
Kepler-714b,,0.863,8.09888799,,,transit,4800.0,1.09,5995.0,2016
Kepler-715b,,0.335,10.00652995,,,transit,3960.0,1.04,5871.0,2016
Kepler-716b,,0.259,10.37168453,,,transit,2200.0,0.83,5099.0,2016
Kepler-717b,,0.216,4.40840023,,,transit,3670.0,0.88,5485.0,2016
Kepler-718b,,1.477,2.0523499,,,transit,5000.0,1.18,6191.0,2016
Kepler-719b,,0.76,5.00731778,,,transit,4650.0,0.99,5777.0,2016
Kepler-720b,,0.75,4.70832654,,,transit,2900.0,0.95,5618.0,2016
Kepler-721b,,0.236,5.39202539,,,transit,2770.0,0.82,5075.0,2016
Kepler-722b,,0.235,4.09357325,,,transit,4480.0,1.03,5863.0,2016
Kepler-722c,,0.252,105.144749,,,transit,4480.0,1.03,5863.0,2016
Kepler-723b,,1.088,4.08227507,,,transit,3150.0,0.92,5539.0,2016
Kepler-724b,,0.294,3.31494634,,,transit,2810.0,0.9,5437.0,2016
Kepler-725b,,0.948,39.64317811,,,transit,2540.0,0.88,5363.0,2016
Kepler-726b,,0.291,21.80451088,,,transit,2730.0,0.88,5452.0,2016
Kepler-727b,,0.226,5.15448442,,,transit,2910.0,0.89,5441.0,2016
Kepler-728b,,0.298,5.74347727,,,transit,4030.0,0.95,5660.0,2016
Kepler-729b,,0.319,3.16635371,,,transit,4150.0,0.94,5633.0,2016
Kepler-730b,,0.822,6.49168426,,,transit,4750.0,1.0,5726.0,2016
Kepler-731b,,1.238,3.85560355,,,transit,4280.0,1.03,5849.0,2016
Kepler-732b,,0.194,9.46781405,,,transit,490.0,0.49,3631.0,2016
Kepler-732c,,0.113,0.89304124,,,transit,490.0,0.49,3631.0,2016
Kepler-733b,,0.252,20.83424726,,,transit,3200.0,0.9,5418.0,2016
Kepler-734b,,0.318,6.10485286,,,transit,1800.0,0.85,5326.0,2016
Kepler-735b,,0.263,11.51516988,,,transit,2600.0,0.85,5107.0,2016
Kepler-736b,,0.261,3.60147201,,,transit,3280.0,0.86,5217.0,2016
Kepler-737b,,0.175,28.59915399,,,transit,640.0,0.51,3813.0,2016
Kepler-738b,,0.223,24.58721573,,,transit,3240.0,0.86,5327.0,2016
Kepler-739b,,0.296,12.53248465,,,transit,3680.0,0.93,5601.0,2016
Kepler-740b,,0.408,3.58410122,,,transit,4120.0,0.91,5438.0,2016
Kepler-741b,,0.265,7.03902374,,,transit,5000.0,1.16,6129.0,2016
Kepler-742b,,0.289,8.36086824,,,transit,1630.0,0.76,4642.0,2016
Kepler-743b,,0.108,3.17926292,,,transit,840.0,0.94,5486.0,2016
Kepler-744b,,0.145,12.06222443,,,transit,1590.0,0.94,5594.0,2016
Kepler-745b,,0.193,9.93143556,,,transit,3910.0,1.04,5849.0,2016
Kepler-746b,,0.099,3.48159251,,,transit,1500.0,0.91,5418.0,2016
Kepler-747b,,0.47,35.61760587,,,transit,2790.0,0.82,5096.0,2016
Kepler-748b,,0.225,7.40742793,,,transit,4150.0,1.07,5934.0,2016
Kepler-749b,,0.277,17.31716585,,,transit,2460.0,0.79,5009.0,2016
Kepler-750b,,0.274,9.42887179,,,transit,3850.0,1.15,6160.0,2016
Kepler-750c,,0.145,4.08899022,,,transit,3850.0,1.15,6160.0,2016
Kepler-751b,,0.219,17.44490636,,,transit,2440.0,0.87,5387.0,2016
Kepler-752b,,0.251,18.82747265,,,transit,3510.0,0.87,5373.0,2016
Kepler-753b,,0.17,5.74772501,,,transit,910.0,0.68,4346.0,2016
Kepler-754b,,0.179,14.5596237,,,transit,3890.0,1.06,5935.0,2016
Kepler-755b,,0.157,1.26909037,,,transit,1200.0,0.82,5043.0,2016
Kepler-755c,,0.112,2.85313364,,,transit,1200.0,0.82,5043.0,2016
Kepler-756b,,0.1,1.22486632,,,transit,2780.0,0.82,5282.0,2016
Kepler-757b,,0.121,1.02267882,,,transit,3310.0,1.08,6014.0,2016
Kepler-758b,,0.221,12.1097104,,,transit,4410.0,1.16,6228.0,2016
Kepler-758c,,0.151,4.75793986,,,transit,4410.0,1.16,6228.0,2016
Kepler-758d,,0.189,20.4966197,,,transit,4410.0,1.16,6228.0,2016
Kepler-758e,,0.136,8.1934719,,,transit,4410.0,1.16,6228.0,2016
Kepler-759b,,0.203,41.805985,,,transit,2910.0,1.04,5860.0,2016
Kepler-760b,,0.273,8.70419416,,,transit,2550.0,0.89,5322.0,2016
Kepler-760c,,0.132,2.46697439,,,transit,2550.0,0.89,5322.0,2016
Kepler-761b,,0.181,10.12804789,,,transit,2830.0,0.95,5706.0,2016
Kepler-762b,,1.131,3.7705521,,,transit,4780.0,1.06,5944.0,2016
Kepler-763b,,0.109,1.19655156,,,transit,2940.0,0.84,5166.0,2016
Kepler-764b,,0.146,7.33683936,,,transit,3300.0,0.92,5557.0,2016
Kepler-765b,,0.217,27.6655226,,,transit,3300.0,1.05,5901.0,2016
Kepler-766b,,0.302,6.10027804,,,transit,5260.0,1.1,5992.0,2016
Kepler-767b,,0.592,161.5280101,,,transit,3860.0,0.96,5694.0,2016
Kepler-768b,,0.16,11.3910025,,,transit,2590.0,0.82,5108.0,2016
Kepler-769b,,0.261,7.42608998,,,transit,4440.0,1.19,6186.0,2016
Kepler-769c,,0.16,15.9870174,,,transit,4440.0,1.19,6186.0,2016
Kepler-770b,,0.205,18.92540274,,,transit,2480.0,0.94,5598.0,2016
Kepler-770c,,0.107,1.47532231,,,transit,2480.0,0.94,5598.0,2016
Kepler-770d,,0.125,4.15244722,,,transit,2480.0,0.94,5598.0,2016
